,pearson_corr,abs_corr
a1_affinity_indoor_dmg_mult,0.006986272528114282,0.006986272528114282
atk_crit_std,0.006167691459833037,0.006167691459833037
d2_min_dmg,0.006029110125347421,0.006029110125347421
def_accuracy_sum_PARTIAL,0.005995800319079435,0.005995800319079435
def_accuracy_mean_PARTIAL,0.005995800319079239,0.005995800319079239
def_accuracy_std_FULL,-0.00581836777401773,0.00581836777401773
d4_dmg_reduction,0.004596251014958517,0.004596251014958517
d3_dmg_reduction,0.004278550804752069,0.004278550804752069
ds1_max_hp,-0.0042334370018126816,0.0042334370018126816
a2_ex_cost,0.002710350966576508,0.002710350966576508
diff_crit_mean_PARTIAL,0.0025450100832273784,0.0025450100832273784
d2_crit_res,0.0025024151801369817,0.0025024151801369817
def_atk_std_FULL,-0.0024437122726987314,0.0024437122726987314
a4_affinity_indoor_block_r,-0.00214064199186205,0.00214064199186205
a4_affinity_indoor_dmg_mult,-0.002140641991861844,0.002140641991861844
a2_def,0.001668118810738431,0.001668118810738431
a2_evasion,0.0013844265363162972,0.0013844265363162972
a2_dmg_reduction,-0.0006430289691062399,0.0006430289691062399
ds1_recov_boost,0.00046362225709011836,0.00046362225709011836
as1_cc_res,0.0004636222570899875,0.0004636222570899875
d2_accuracy,-0.00027950537379035814,0.00027950537379035814
d1_alt_count,-1.7090661863202978e-17,1.7090661863202978e-17
d1_cc_power,,
d1_atk_spd,,
d1_mov_spd,,
d1_def_piercing,,
d2_cc_power,,
d2_atk_spd,,
d2_mov_spd,,
d2_def_piercing,,
d3_cc_power,,
d3_block_rate_bonus,,
d3_def_piercing,,
d4_cc_power,,
d4_mov_spd,,
d4_block_rate_bonus,,
a1_cc_power,,
a1_atk_spd,,
a1_mov_spd,,
a1_block_rate_bonus,,
a2_cc_power,,
a2_atk_spd,,
a2_mov_spd,,
a2_block_rate_bonus,,
a2_def_piercing,,
a3_cc_power,,
a3_atk_spd,,
a3_mov_spd,,
a3_block_rate_bonus,,
a3_def_piercing,,
a4_cc_power,,
a4_atk_spd,,
a4_mov_spd,,
a4_def_piercing,,
ds1_atk_spd,,
ds2_ex_cost,,
ds2_crit_dmg,,
ds2_cc_power,,
ds2_cc_res,,
ds2_recov_boost,,
ds2_atk_spd,,
as1_alt_count,,
as1_ex_cost,,
as1_recov_boost,,
as1_atk_spd,,
as2_alt_count,,
as2_ex_cost,,
as2_ex_length,,
as2_max_hp,,
as2_atk,,
as2_def,,
as2_healing,,
as2_accuracy,,
as2_evasion,,
as2_crit,,
as2_crit_dmg,,
as2_stability,,
as2_min_dmg,,
as2_cc_power,,
as2_cc_res,,
as2_recov_boost,,
as2_atk_spd,,
as1_affinity_indoor_dmg_mult,,
as1_affinity_indoor_block_r,,
as2_affinity_indoor_dmg_mult,,
as2_affinity_indoor_block_r,,
atk_position_middle_prop_FULL,,
